                                                                                                                                                                                                                                                                
                        1                         2                         3                         4                         5                         6                         7
                 Re(freq)                  Im(freq)                freq_units                         l                      n_pg                 Re(omega)                 Im(omega)
  0.5868842084554447E+001   0.0000000000000000E+000 CYC_PER_DAY                                       1                        -5   0.3101798217990401E+001   0.0000000000000000E+000
                        1                         2                         3                         4                         5
                        x                  Re(xi_h)                  Im(xi_h)                  Re(xi_r)                  Im(xi_r)
  0.4231131714182488E-001   0.1649075573677248E+001   0.0000000000000000E+000  -0.1901147302889131E+000   0.0000000000000000E+000
  0.4235256926808835E-001   0.1654876434261177E+001   0.0000000000000000E+000  -0.1865925746150184E+000   0.0000000000000000E+000
  0.4239382139435181E-001   0.1660192112134328E+001   0.0000000000000000E+000  -0.1830661745160271E+000   0.0000000000000000E+000
  0.4243507352061528E-001   0.1665024778829634E+001   0.0000000000000000E+000  -0.1795364739009357E+000   0.0000000000000000E+000
  0.4247632564687874E-001   0.1669379406382712E+001   0.0000000000000000E+000  -0.1760044057356820E+000   0.0000000000000000E+000
  0.4251757777314220E-001   0.1673263146778069E+001   0.0000000000000000E+000  -0.1724708873546802E+000   0.0000000000000000E+000
  0.4255882989940567E-001   0.1676684713653323E+001   0.0000000000000000E+000  -0.1689368169957484E+000   0.0000000000000000E+000
  0.4260008202566913E-001   0.1679653767281017E+001   0.0000000000000000E+000  -0.1654030715447705E+000   0.0000000000000000E+000
  0.4264133415193260E-001   0.1682180303808687E+001   0.0000000000000000E+000  -0.1618705054746163E+000   0.0000000000000000E+000
  0.4268294094350313E-001   0.1684291826512056E+001   0.0000000000000000E+000  -0.1583096073601893E+000   0.0000000000000000E+000
  0.4272454773507366E-001   0.1685979277051667E+001   0.0000000000000000E+000  -0.1547515788692894E+000   0.0000000000000000E+000
  0.4276615452664418E-001   0.1687252082828824E+001   0.0000000000000000E+000  -0.1511972170802303E+000   0.0000000000000000E+000
  0.4280776131821470E-001   0.1688113551661435E+001   0.0000000000000000E+000  -0.1476473039657596E+000   0.0000000000000000E+000
  0.4284936810978523E-001   0.1688561814289699E+001   0.0000000000000000E+000  -0.1441026173929752E+000   0.0000000000000000E+000
  0.4289097490135575E-001   0.1688590761792482E+001   0.0000000000000000E+000  -0.1405639402446359E+000   0.0000000000000000E+000
  0.4293258169292628E-001   0.1688190976684147E+001   0.0000000000000000E+000  -0.1370320676855440E+000   0.0000000000000000E+000
  0.4297418848449681E-001   0.1687350656622188E+001   0.0000000000000000E+000  -0.1335078125996919E+000   0.0000000000000000E+000
  0.4301579527606733E-001   0.1686056529749517E+001   0.0000000000000000E+000  -0.1299920092256007E+000   0.0000000000000000E+000
  0.4305740206763786E-001   0.1684294760731651E+001   0.0000000000000000E+000  -0.1264855150189152E+000   0.0000000000000000E+000
